Date,LOC_IDENTIFIER,Z_HEIGHT,TUBE_THICKNESS_ACT,TUBE_THICKNESS_PRED
16-Oct-15,B1_RH1_H0_C1_B1_LOC1,65,5.1,5.357262401
16-Oct-15,B1_RH1_H0_C2_B1_LOC2,65,5.4,5.3999
16-Oct-15,B1_RH1_H0_C3_B1_LOC3,65,5.2,4.235511845
16-Oct-15,B1_RH1_H0_C4_B1_LOC4,65,5.2,5.453096099
16-Oct-15,B1_RH1_H0_C5_B1_LOC5,65,5.1,5.318686498
16-Oct-15,B1_RH1_H0_C6_B1_LOC6,65,5.2,5.318686498
16-Oct-15,B1_RH1_H0_C7_B1_LOC7,65,5.1,5.276216062
16-Oct-15,B1_RH1_H0_C8_B1_LOC8,65,5.2,5.328904775
16-Oct-15,B1_RH1_H0_C9_B1_LOC9,65,5,5.440687679
16-Oct-15,B1_RH1_H0_C10_B1_LOC10,65,4.9,4.703254164
16-Oct-15,B1_RH1_H0_C11_B1_LOC11,65,5.3,5.536592158
16-Oct-15,B1_RH1_H0_C12_B1_LOC12,65,5.1,5.65584729
16-Oct-15,B1_RH1_H0_C13_B1_LOC13,65,5.2,5.864568381
16-Oct-15,B1_RH1_H0_C14_B1_LOC14,65,5,5.629562129
16-Oct-15,B1_RH1_H1_C1_B1_LOC15,65,4,4.749321694
16-Oct-15,B1_RH1_H1_C2_B1_LOC16,67,4.05,4.96977746
16-Oct-15,B1_RH1_H1_C3_B1_LOC17,67,4.23,4.472979657
16-Oct-15,B1_RH1_H1_C4_B1_LOC18,67,3.99,4.814217163
16-Oct-15,B1_RH1_H1_C5_B1_LOC19,67,,4.814217163
16-Oct-15,B1_RH1_H1_C6_B1_LOC20,67,5,5.716134401
16-Oct-15,B1_RH1_H1_C7_B1_LOC21,67,5.221,4.99
16-Oct-15,B1_RH1_H1_C8_B1_LOC22,67,5.23,4.57723342
16-Oct-15,B1_RH1_H1_C9_B1_LOC23,67,3.01,2.922283435
16-Oct-15,B1_RH1_H1_C10_B1_LOC24,67,5.1,4.592666015
16-Oct-15,B1_RH1_H1_C11_B1_LOC25,67,4.8,4.267107226
16-Oct-15,B1_RH1_H1_C12_B1_LOC26,67,3.5,3.811264781
16-Oct-15,B1_RH1_H1_C13_B1_LOC27,67,5.001,5.735555595
16-Oct-15,B1_RH1_H1_C14_B1_LOC28,67,3.501,3.45
